iter	Passed	Remaining
0	6	599
1	10	508
2	12	415
3	15	361
4	17	333
5	21	335
6	24	322
7	25	297
8	27	273
9	28	254
10	29	238
11	30	224
12	31	213
13	33	203
14	34	196
15	35	188
16	37	181
17	38	175
18	40	170
19	41	164
20	42	159
21	43	154
22	44	150
23	46	146
24	47	142
25	48	138
26	50	137
27	52	135
28	53	131
29	54	128
30	56	125
31	57	122
32	58	119
33	59	116
34	61	113
35	62	110
36	63	108
37	64	105
38	66	103
39	67	101
40	68	98
41	69	95
42	70	93
43	71	91
44	72	88
45	74	86
46	75	85
47	76	83
48	77	81
49	79	79
50	80	77
51	82	75
52	83	73
53	84	71
54	85	69
55	86	68
56	87	66
57	88	64
58	90	62
59	91	60
60	92	59
61	94	57
62	95	56
63	96	54
64	98	52
65	99	51
66	100	49
67	101	47
68	102	46
69	104	44
70	105	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	112	33
77	113	32
78	115	30
79	116	29
80	117	27
81	118	26
82	119	24
83	121	23
84	123	21
85	124	20
86	125	18
87	126	17
88	127	15
89	129	14
90	130	12
91	132	11
92	133	10
93	134	8
94	135	7
95	136	5
96	138	4
97	139	2
98	140	1
99	141	0
