iter	Passed	Remaining
0	295	295001
1	300	149900
2	305	101408
3	313	78166
4	316	63076
5	319	52881
6	324	45994
7	327	40611
8	330	36349
9	332	32929
10	335	30182
11	340	28030
12	342	25970
13	343	24174
14	344	22623
15	345	21268
16	347	20077
17	348	19037
18	352	18223
19	355	17398
20	356	16636
21	358	15922
22	359	15264
23	360	14662
24	362	14130
25	363	13620
26	364	13143
27	366	12731
28	368	12326
29	369	11947
30	370	11586
31	371	11247
32	373	10935
33	374	10640
34	375	10360
35	376	10094
36	378	9843
37	379	9614
38	382	9422
39	383	9212
40	385	9007
41	386	8815
42	387	8628
43	389	8453
44	390	8282
45	391	8118
46	392	7965
47	394	7822
48	396	7696
49	398	7565
50	399	7433
51	400	7310
52	402	7196
53	404	7078
54	405	6961
55	406	6849
56	407	6740
57	410	6664
58	411	6565
59	412	6466
60	413	6370
61	415	6279
62	416	6196
63	417	6110
64	418	6026
65	420	5946
66	421	5867
67	422	5791
68	424	5734
69	426	5665
70	427	5597
71	428	5528
72	430	5462
73	431	5397
74	432	5334
75	433	5273
76	434	5212
77	435	5153
78	437	5096
79	439	5051
80	441	5004
81	442	4951
82	442	4893
83	444	4842
84	445	4794
85	446	4747
86	447	4699
87	448	4652
88	450	4607
89	451	4562
90	452	4520
91	454	4488
92	455	4446
93	457	4406
94	458	4366
95	459	4327
96	460	4287
97	461	4250
98	462	4212
99	464	4177
100	465	4141
101	466	4105
102	468	4077
103	470	4053
104	471	4020
105	473	3991
106	474	3961
107	475	3931
108	477	3900
109	478	3869
110	479	3839
111	480	3810
112	481	3782
113	484	3767
114	486	3741
115	487	3716
116	488	3688
117	490	3663
118	491	3639
119	492	3613
120	494	3589
121	495	3562
122	496	3537
123	498	3520
124	500	3503
125	501	3480
126	502	3455
127	503	3431
128	504	3409
129	506	3387
130	507	3365
131	508	3343
132	509	3321
133	510	3300
134	512	3283
135	514	3270
136	515	3249
137	517	3230
138	518	3210
139	519	3190
140	520	3171
141	521	3149
142	522	3131
143	523	3114
144	525	3096
145	526	3078
146	528	3069
147	530	3052
148	531	3035
149	532	3018
150	533	3000
151	534	2984
152	536	2968
153	537	2952
154	538	2935
155	539	2919
156	540	2903
157	543	2894
158	544	2881
159	545	2865
160	546	2848
161	547	2834
162	549	2819
163	550	2804
164	551	2789
165	552	2775
166	553	2761
167	554	2748
168	555	2733
169	559	2731
170	560	2719
171	562	2705
172	563	2691
173	564	2678
174	565	2665
175	566	2653
176	567	2640
177	568	2627
178	570	2615
179	571	2603
180	574	2597
181	575	2585
182	576	2573
183	577	2561
184	578	2550
185	579	2538
186	581	2526
187	582	2514
188	583	2503
189	584	2492
190	586	2482
191	588	2476
192	590	2467
193	591	2457
194	592	2446
195	594	2437
196	595	2427
197	596	2417
198	597	2406
199	598	2395
200	601	2389
201	603	2386
202	605	2375
203	606	2365
204	607	2355
205	608	2346
206	609	2336
207	611	2326
208	612	2316
209	613	2307
210	614	2299
211	616	2291
212	618	2285
213	619	2276
214	621	2267
215	622	2258
216	623	2249
217	624	2239
218	625	2231
219	626	2222
220	628	2213
221	629	2205
222	630	2196
223	632	2192
224	633	2183
225	634	2174
226	636	2166
227	637	2157
228	638	2149
229	639	2141
230	640	2133
231	642	2125
232	643	2117
233	644	2109
234	646	2104
235	648	2098
236	649	2091
237	650	2083
238	651	2075
239	653	2067
240	654	2060
241	655	2052
242	656	2045
243	657	2038
244	659	2031
245	660	2025
246	662	2021
247	664	2013
248	665	2006
249	666	1999
250	667	1992
251	668	1985
252	669	1978
253	671	1971
254	672	1964
255	673	1957
256	675	1951
257	677	1947
258	678	1941
259	679	1935
260	681	1928
261	682	1923
262	684	1916
263	685	1910
264	686	1904
265	687	1897
266	688	1890
267	690	1885
268	692	1882
269	693	1876
270	695	1869
271	696	1863
272	697	1856
273	698	1851
274	700	1846
275	701	1841
276	703	1836
277	705	1833
278	707	1828
279	708	1822
280	710	1817
281	711	1811
282	712	1805
283	713	1799
284	714	1793
285	716	1787
286	717	1782
287	718	1776
288	719	1771
289	722	1767
290	723	1762
291	724	1756
292	725	1750
293	726	1745
294	728	1740
295	729	1734
296	730	1729
297	731	1723
298	732	1718
299	734	1712
300	736	1711
301	738	1706
302	739	1701
303	740	1695
304	741	1690
305	743	1685
306	744	1679
307	745	1674
308	746	1669
309	747	1664
310	748	1659
311	751	1656
312	752	1651
313	753	1646
314	754	1641
315	756	1636
316	757	1631
317	758	1626
318	759	1621
319	760	1616
320	761	1611
321	762	1606
322	765	1605
323	766	1600
324	768	1595
325	769	1591
326	770	1586
327	772	1581
328	773	1576
329	774	1572
330	775	1567
331	776	1562
332	777	1558
333	780	1555
334	781	1552
335	783	1548
336	784	1543
337	786	1539
338	787	1535
339	788	1531
340	790	1526
341	791	1522
342	792	1517
343	794	1514
344	796	1511
345	797	1508
346	799	1504
347	800	1500
348	802	1496
349	803	1492
350	804	1487
351	805	1483
352	807	1479
353	809	1478
354	811	1474
355	813	1471
356	814	1466
357	815	1462
358	816	1458
359	817	1454
360	819	1450
361	820	1445
362	821	1441
363	822	1437
364	825	1436
365	827	1433
366	828	1429
367	829	1424
368	831	1421
369	832	1416
370	833	1412
371	834	1408
372	835	1404
373	836	1400
374	840	1400
375	841	1396
376	842	1393
377	844	1389
378	845	1385
379	846	1380
380	847	1377
381	848	1373
382	849	1369
383	851	1365
384	852	1361
385	854	1359
386	856	1356
387	857	1352
388	858	1348
389	859	1344
390	860	1340
391	861	1336
392	863	1333
393	864	1329
394	865	1325
395	866	1321
396	868	1319
397	870	1317
398	872	1313
399	873	1310
400	874	1306
401	876	1303
402	877	1300
403	878	1296
404	880	1292
405	881	1289
406	882	1285
407	885	1284
408	886	1280
409	887	1277
410	888	1273
411	889	1269
412	890	1266
413	892	1262
414	893	1259
415	894	1255
416	895	1251
417	896	1248
418	899	1247
419	900	1243
420	901	1240
421	903	1236
422	904	1233
423	905	1229
424	906	1226
425	907	1222
426	908	1219
427	909	1216
428	911	1212
429	912	1209
430	915	1208
431	916	1205
432	917	1201
433	918	1198
434	919	1194
435	921	1191
436	922	1188
437	923	1184
438	924	1181
439	925	1178
440	927	1176
441	929	1173
442	930	1170
443	931	1166
444	933	1163
445	934	1160
446	935	1157
447	936	1154
448	937	1150
449	939	1147
450	940	1144
451	941	1141
452	944	1139
453	945	1136
454	946	1133
455	947	1130
456	948	1127
457	949	1124
458	951	1120
459	952	1117
460	953	1114
461	954	1111
462	955	1108
463	958	1107
464	960	1104
465	961	1101
466	962	1098
467	963	1095
468	964	1092
469	966	1089
470	967	1086
471	968	1083
472	970	1080
473	971	1077
474	973	1075
475	974	1073
476	976	1070
